Customer Segment,RFM_score,F_quartile,R_quartile,M_quartile,Total Paid,last-to-present,Order ID,Units Sold
Normal,234,3,2,4,221781.3,173,976323497,4674
Normal,434,3,4,4,214459.52,669,625751483,2624
Normal,433,3,4,3,471472.2,857,816343677,3090
Churn customer,444,4,4,4,64730.16,1279,716411006,792
Normal,432,3,4,2,1263982.44,1166,217165648,2996
Normal,422,2,4,2,881993.5,1348,994744050,5725
High paying customer,421,2,4,1,3539326.35,1427,628667151,5435
Churn customer,444,4,4,4,122323.64,2539,403153026,794
Normal,122,2,1,2,1061935.58,6,975080668,6893
High paying customer,411,1,4,1,2041474.16,658,336707198,7997
Churn customer,444,4,4,4,189673.04,1766,983406674,743
Normal,433,3,4,3,439582.98,2589,293063580,2881
Normal,432,3,4,2,1302693.84,855,922020137,5103
Normal,422,2,4,2,1287682,1379,633198153,6260
Churn customer,444,4,4,4,242820.16,456,685596930,2222
Loyal custommer,412,1,4,2,893910.4,2220,437072026,8180
New customer,144,4,1,4,87561.04,99,564173543,343
Loyal custommer,212,1,2,2,1378991.06,147,557477891,8951
High paying customer,421,2,4,1,2513025.6,391,755424487,5748
Normal,423,2,4,3,523398.92,1396,711597621,6404
Churn customer,444,4,4,4,203205.14,829,658796298,1319
High paying customer,311,1,3,1,3354447.39,209,144055068,7951
Normal,433,3,4,3,514927.36,789,627786099,4712
"Once Loyal, Now Gone",443,4,4,3,417668.75,1063,925384271,625
Normal,433,3,4,3,268500.96,584,870173251,2457
Normal,422,2,4,2,1623070.24,719,937501418,6358
Normal,432,3,4,2,1469442.87,1369,217539012,3483
Churn customer,444,4,4,4,42947.04,907,440154635,393
Churn customer,444,4,4,4,219474.4,2251,231383931,502
Normal,422,2,4,2,1288504.8,2061,377184951,6264
Churn customer,444,4,4,4,76062.35,566,122372519,1603
Normal,432,3,4,2,1015503.84,1781,653939139,3978
Loyal custommer,414,1,4,4,83130.3,1956,567412793,8910
Normal,433,3,4,3,647543.6,1935,184894168,3148
Loyal custommer,412,1,4,2,1257745.84,1601,383882319,8164
High paying customer,411,1,4,1,5870006.94,1505,341306436,9014
High paying customer,421,2,4,1,2730893.97,1939,948518216,6473
New customer,142,4,1,2,825638.73,59,543396508,1957
Normal,424,2,4,4,49001.16,933,156616818,5252
"Once Loyal, Now Gone",443,4,4,3,336591.48,1727,996083867,2206
High paying customer,411,1,4,1,4060276.4,1314,551261174,9287
Churn customer,444,4,4,4,12457.92,924,350062453,114
Normal,433,3,4,3,429673.34,605,934718358,2789
High paying customer,411,1,4,1,2252080.16,2220,389291369,8822
Normal,434,3,4,4,43589.76,2764,295840632,4672
"Once Loyal, Now Gone",443,4,4,3,572039.12,1542,538053548,856
High paying customer,411,1,4,1,2025902.08,429,170953977,7936
High paying customer,421,2,4,1,4859659.44,1841,554160535,7272
Normal,433,3,4,3,298880.8,2493,880176818,2735
Churn customer,444,4,4,4,105586.66,568,918860709,158
Normal,423,2,4,3,278768.75,1111,357482516,5875
Loyal custommer,412,1,4,2,1000567.68,2345,188631665,9156
"Once Loyal, Now Gone",443,4,4,3,585583.32,1844,303331506,1388
Churn customer,444,4,4,4,737.07,1471,872564494,79
Loyal custommer,412,1,4,2,1479873.42,1439,400310742,9699
Churn customer,444,4,4,4,61052.31,663,932075631,747
Loyal custommer,414,1,4,4,86927.61,1346,805077970,9317
"Once Loyal, Now Gone",442,4,4,2,1107708.21,2025,371796500,1701
Churn customer,444,4,4,4,942.33,2737,213506257,101
Loyal custommer,412,1,4,2,1376063.92,1436,146254909,8932
High paying customer,421,2,4,1,4561611.02,1642,673041617,6826
Normal,434,3,4,4,137557.55,451,501834714,2899
High paying customer,411,1,4,1,5447068.77,377,954065883,8151
Normal,433,3,4,3,308367.29,2541,114776504,3773
Churn customer,444,4,4,4,157252.48,530,461917865,616
Churn customer,444,4,4,4,79099.15,690,686203324,1667
Churn customer,444,4,4,4,107094.65,1922,439856803,2257
"Once Loyal, Now Gone",443,4,4,3,395666,836,811977040,905
Normal,433,3,4,3,719567.28,719,615316617,4716
Churn customer,444,4,4,4,89564.46,1286,454010283,587
Normal,433,3,4,3,410938.44,2458,864437186,5028
Normal,434,3,4,4,44336.16,855,670364987,4752
Loyal custommer,412,1,4,2,1472505.48,1123,727997720,9558
High paying customer,411,1,4,1,6353242.89,2548,554641187,9507
Loyal custommer,312,1,3,2,966144.48,336,579814469,8841
"Once Loyal, Now Gone",442,4,4,2,1522987.33,1867,170732104,2279
Normal,433,3,4,3,647900.64,889,769032084,2538
Normal,433,3,4,3,445849.64,697,228350675,2894
Normal,424,2,4,4,50120.76,1925,685844123,5372
Churn customer,444,4,4,4,122431.54,2715,686946189,1498
Loyal custommer,412,1,4,2,1471273,800,534467113,9550
Churn customer,444,4,4,4,169363.8,793,584924829,1110
Normal,122,2,1,2,866433.44,100,948819482,5624
Normal,422,2,4,2,1553634.08,1286,622383916,6086
High paying customer,421,2,4,1,2364271.56,873,484947526,5604
High paying customer,411,1,4,1,2120610.96,1215,200354850,8307
Loyal custommer,412,1,4,2,929317.12,2706,520777547,8504
Churn customer,444,4,4,4,140003.49,544,624937379,1713
High paying customer,421,2,4,1,4391760.24,444,859914767,6744
High paying customer,411,1,4,1,2100699.12,1164,316466176,8229
High paying customer,421,2,4,1,4879707.54,1592,492353856,7302
High paying customer,411,1,4,1,6305666.43,915,793116605,9683
Normal,434,3,4,4,229752.9,1360,882887351,4842
Normal,422,2,4,2,961559.16,1662,201294267,6302
Normal,422,2,4,2,981054.08,1567,439262425,6368
Churn customer,444,4,4,4,45316.26,385,750033032,297
Loyal custommer,413,1,4,3,762704.36,845,462555587,9332
Normal,434,3,4,4,31162.2,774,196384322,3340
High paying customer,431,3,4,1,3073059.99,2522,721797311,4719
"Once Loyal, Now Gone",443,4,4,3,614203.68,976,624736964,2406
"Once Loyal, Now Gone",443,4,4,3,676711.56,636,234496581,1604
High paying customer,321,2,3,1,4953885.51,327,719339549,7413
Normal,323,2,3,3,271176.75,316,723355138,5715
High paying customer,421,2,4,1,3005122.47,1746,174837386,7123
High paying customer,411,1,4,1,6036716.7,2113,520915305,9270
Normal,422,2,4,2,1533287.8,1880,930104529,7454
Normal,322,2,3,2,827302.2,254,648030126,5370
"Once Loyal, Now Gone",442,4,4,2,945663.6,603,447899138,2163
High paying customer,421,2,4,1,4103177.8,2488,704365098,6140
"Once Loyal, Now Gone",442,4,4,2,1480218.05,2522,630447280,2215
High paying customer,421,2,4,1,3251019.2,1515,792230403,7436
Normal,432,3,4,2,850363.8,1280,945435178,4134
Normal,433,3,4,3,325545.12,1938,719730079,2979
Loyal custommer,412,1,4,2,943195.68,1219,754082524,8631
Normal,432,3,4,2,911860.16,693,977806651,3572
Loyal custommer,114,1,1,4,85733.37,74,694136226,9189
Normal,422,2,4,2,1806361.28,1305,104548490,7076
Loyal custommer,412,1,4,2,1076517.28,2672,553290641,9851
High paying customer,411,1,4,1,1976777,1738,678424060,9610
Normal,333,3,3,3,561646.98,207,361901938,3681
High paying customer,411,1,4,1,2119079.28,1654,785643756,8301
Normal,422,2,4,2,801655.32,1913,427735364,5254
High paying customer,411,1,4,1,3748492.65,2317,552814280,8885
"Once Loyal, Now Gone",443,4,4,3,598661.91,2480,933429610,1419
Churn customer,444,4,4,4,154411.74,490,268791949,366
High paying customer,411,1,4,1,5117611.66,708,184976994,7658
High paying customer,411,1,4,1,5876766.38,666,477490127,8794
Loyal custommer,212,1,2,2,1386189.3,113,569170606,9085
High paying customer,411,1,4,1,5177087.69,995,905200326,7747
"Once Loyal, Now Gone",442,4,4,2,947986.83,978,492100226,2247
Churn customer,444,4,4,4,90155,2027,623687684,1900
New customer,143,4,1,3,400962,59,688903129,600
Normal,323,2,3,3,608252.48,256,833484923,5566
Loyal custommer,412,1,4,2,1300591.92,2441,881717050,8524
Loyal custommer,412,1,4,2,881233.92,1954,263647687,8064
Normal,422,2,4,2,1034797.56,2181,873871266,6782
Normal,423,2,4,3,725400.64,1035,310614669,6638
High paying customer,411,1,4,1,2014669.76,636,221980750,7892
High paying customer,411,1,4,1,3324468.8,2562,540982520,7604
High paying customer,311,1,3,1,3610956.51,195,920747697,8559
Normal,432,3,4,2,1118126.4,2336,866259801,4380
High paying customer,421,2,4,1,2746490.4,763,666044700,6282
Loyal custommer,414,1,4,4,86330.49,1949,530613744,9253
Loyal custommer,413,1,4,3,710233.7,1335,162677323,8690
Normal,432,3,4,2,1271154.57,919,756395232,3013
Normal,344,4,3,4,64038.08,227,914840829,586
Churn customer,444,4,4,4,14732.07,1970,302216994,1579
Normal,432,3,4,2,1815021.32,859,966415631,2716
"Once Loyal, Now Gone",442,4,4,2,796528.32,2028,357942140,1888
High paying customer,411,1,4,1,1974846.08,1469,980287587,7736
Normal,422,2,4,2,1149133.54,1144,651247489,7459
High paying customer,411,1,4,1,3769975.6,1492,781251800,8623
High paying customer,421,2,4,1,4456881.24,1789,451834905,6844
Churn customer,444,4,4,4,152673.46,2602,578368651,991
High paying customer,411,1,4,1,5351643.78,1760,304638707,8218
Loyal custommer,413,1,4,3,772266.77,1854,270072972,9449
Loyal custommer,414,1,4,4,80965.74,1538,911286151,8678
High paying customer,421,2,4,1,4361130.02,1337,990455090,6526
Churn customer,444,4,4,4,107263.74,1570,872161090,703
High paying customer,421,2,4,1,3688453.44,2073,699801480,5664
Normal,422,2,4,2,928601.88,1015,429123675,6086
Loyal custommer,114,1,1,4,71934.3,72,604242742,7710
Normal,433,3,4,3,458655.48,2093,820195758,3006
High paying customer,421,2,4,1,3192871.6,612,287671697,7303
"Once Loyal, Now Gone",443,4,4,3,473727.1,927,209357202,2303
Normal,422,2,4,2,1068975.48,2294,581193768,7006
Normal,424,2,4,4,59236.17,2733,114954173,6349
Normal,433,3,4,3,295617.41,372,269276034,3617
Loyal custommer,412,1,4,2,1338279.18,1736,507531726,8771
Normal,233,3,2,3,742165.6,154,610886037,3608
Normal,434,3,4,4,38206.35,594,315066707,4095
Normal,422,2,4,2,1496196.08,421,258605134,5861
High paying customer,411,1,4,1,1953147.28,1821,292234885,7651
Churn customer,444,4,4,4,45362.2,611,682314765,956
Loyal custommer,413,1,4,3,404985.75,890,155952060,8535
High paying customer,421,2,4,1,4142605.73,1097,666483724,6199
Churn customer,444,4,4,4,2929.62,1731,192589318,314
Loyal custommer,412,1,4,2,1222003.92,1218,317208611,7932
New customer,144,4,1,4,223224.54,85,858376252,1463
Normal,422,2,4,2,814777.2,2341,339334046,5340
Churn customer,444,4,4,4,45442.36,2102,450189960,68
"Once Loyal, Now Gone",443,4,4,3,535132.8,700,208238399,1224
Normal,433,3,4,3,747308.1,1202,559183347,3633
Churn customer,444,4,4,4,75350.6,2590,189315736,1588
High paying customer,421,2,4,1,3727610.06,2040,894548308,5578
"Once Loyal, Now Gone",443,4,4,3,392875.92,1493,775347936,1539
Loyal custommer,414,1,4,4,88271.13,2334,965796363,9461
Normal,423,2,4,3,356966.35,2257,642123687,7523
Normal,432,3,4,2,1608021.6,1826,465881955,3678
Loyal custommer,413,1,4,3,426148.45,1010,735801875,8981
High paying customer,431,3,4,1,2168529.3,1676,900488221,3330
Churn customer,444,4,4,4,62768.64,1124,682381713,768
High paying customer,411,1,4,1,4051969.6,2647,751854360,9268
Normal,433,3,4,3,614287.08,1827,651100718,4026
Normal,422,2,4,2,812715.36,709,334812915,7437
Loyal custommer,412,1,4,2,1071599.68,2196,926767003,9806
Churn customer,444,4,4,4,70704.16,587,216042554,647
Churn customer,444,4,4,4,709.08,1769,466478049,76
Churn customer,444,4,4,4,7432.4,1128,916089236,17
Normal,433,3,4,3,391331.68,1523,201622998,3581
Churn customer,444,4,4,4,135553.68,847,184412229,531
High paying customer,411,1,4,1,2093040.72,1342,299366986,8199
"Once Loyal, Now Gone",443,4,4,3,278106.4,1744,737736070,1352
Normal,424,2,4,4,255802.95,2737,797461354,5391
Normal,432,3,4,2,1791766.83,549,603014504,4247
High paying customer,411,1,4,1,2527527.28,2412,800957238,9901
Loyal custommer,413,1,4,3,392269.15,1115,535104835,8267
Loyal custommer,412,1,4,2,1786710.2,2596,616546571,8686
High paying customer,431,3,4,1,3066022.76,2056,101836669,4588
High paying customer,411,1,4,1,5662251.71,1895,143414771,8473
High paying customer,431,3,4,1,1953772.59,572,152559602,4631
Normal,422,2,4,2,1150758.36,740,571902596,7542
Normal,423,2,4,3,732176,1360,922363460,6700
"Once Loyal, Now Gone",443,4,4,3,541704.16,2271,300022304,2122
Normal,423,2,4,3,530019.05,415,589842927,6485
High paying customer,411,1,4,1,2251824.88,1371,186839520,8821
High paying customer,211,1,2,1,1965257.8,117,956571280,9554
Normal,322,2,3,2,1228440.4,241,391849982,5972
Loyal custommer,414,1,4,4,89717.28,1615,898211562,9616
"Once Loyal, Now Gone",443,4,4,3,430530.1,1635,636360585,2093
High paying customer,431,3,4,1,1946414.4,454,541782891,4452
Loyal custommer,412,1,4,2,1735696.6,2460,910643279,8438
Churn customer,444,4,4,4,197266.3,593,504024684,959
"Once Loyal, Now Gone",443,4,4,3,563645.04,932,692555224,1336
High paying customer,431,3,4,1,2058271.6,1269,968106496,3080
High paying customer,431,3,4,1,3178960.39,1309,866125905,4757
High paying customer,411,1,4,1,1995779.04,1302,571531808,7818
High paying customer,411,1,4,1,5374436.13,2019,239554154,8253
Normal,122,2,1,2,1102299.3,87,245768296,7155
High paying customer,411,1,4,1,2374359.28,1960,938322389,9301
High paying customer,411,1,4,1,3850420.4,1688,692952191,8807
Churn customer,444,4,4,4,190757.82,2429,353415429,2334
Loyal custommer,312,1,3,2,814112.53,321,874017179,9961
High paying customer,411,1,4,1,2206895.6,1577,669938838,8645
High paying customer,431,3,4,1,3271027.83,708,558917701,5023
"Once Loyal, Now Gone",443,4,4,3,338777.94,2139,281064879,2199
Normal,422,2,4,2,1264437.9,990,613124930,6147
Normal,344,4,3,4,39858,327,264163959,840
Best customer,111,1,1,1,3840464.67,50,111246287,9103
Loyal custommer,412,1,4,2,1785064.6,1319,552205312,8678
Normal,432,3,4,2,818891.7,1833,554554927,3981
Normal,433,3,4,3,383135.68,2066,638088786,3506
Normal,433,3,4,3,401057.6,2563,678302609,3670
Loyal custommer,412,1,4,2,1358419.74,880,650644099,8903
Loyal custommer,412,1,4,2,840363.2,2254,974069583,7690
Normal,423,2,4,3,654477.92,1998,185478246,5989
High paying customer,421,2,4,1,3776393.77,683,745083606,5651
High paying customer,411,1,4,1,5594756.44,647,997490203,8372
High paying customer,431,3,4,1,2901140.55,646,600210416,4455
Normal,432,3,4,2,941488.9,2530,176923930,4577
"Once Loyal, Now Gone",443,4,4,3,281510.1,1079,457022082,1845
High paying customer,431,3,4,1,3170272.88,1302,444798934,4744
"Once Loyal, Now Gone",442,4,4,2,1458833.41,1134,243892896,2183
Churn customer,444,4,4,4,10318.98,1669,154811799,1106
Normal,432,3,4,2,788633.14,1230,249039304,5119
High paying customer,421,2,4,1,2657301.6,368,174935233,6078
Normal,432,3,4,2,796473.6,914,537250173,3120
Churn customer,444,4,4,4,61297.5,487,351247346,750
High paying customer,431,3,4,1,2814529.62,732,455915296,4322
Normal,432,3,4,2,1676865.75,1865,904169070,2575
High paying customer,411,1,4,1,5310617.55,612,757527768,8155
Normal,432,3,4,2,1530195.03,2472,168979442,3627
High paying customer,321,2,3,1,2554559.6,213,523269212,5843
High paying customer,421,2,4,1,2581544.91,1825,839704644,6119
Normal,432,3,4,2,1189307.91,776,446346890,2819
Churn customer,444,4,4,4,12968.7,426,313705861,1390
Normal,433,3,4,3,737876.88,1562,864368951,4836
Loyal custommer,412,1,4,2,955981.44,2264,151052844,8748
Normal,434,3,4,4,176608.9,1129,762514102,3722
High paying customer,411,1,4,1,2116526.48,1401,604582631,8291
High paying customer,431,3,4,1,3009892.62,1002,549048888,4622
Normal,424,2,4,4,51380.31,753,990316474,5507
"Once Loyal, Now Gone",442,4,4,2,1163712.27,2435,938668715,1787
High paying customer,411,1,4,1,2469068.16,1748,485096442,9672
Loyal custommer,414,1,4,4,93066.75,2342,672106063,9975
Normal,344,4,3,4,37590.64,287,819037473,244
Normal,422,2,4,2,804956.48,946,155001914,7366
Normal,423,2,4,3,689666.08,812,231369769,6311
Normal,432,3,4,2,800558.08,2523,917485272,3136
Normal,424,2,4,4,247878.8,2355,481533181,5224
Loyal custommer,412,1,4,2,1206297.48,1264,364315497,7906
Normal,424,2,4,4,68771.43,1461,307305467,7371
New customer,144,4,1,4,98484.65,20,132069671,1205
Loyal custommer,412,1,4,2,1425860.1,1316,169133937,9345
Normal,423,2,4,3,327879.5,1780,113435399,6910
Normal,422,2,4,2,1132172.8,631,110794818,5504
Normal,433,3,4,3,299540.45,848,862236058,3665
Loyal custommer,412,1,4,2,850744.8,2050,374824607,7785
Churn customer,444,4,4,4,200419.52,2691,239329707,1834
Normal,344,4,3,4,156270.4,334,853746545,1430
Loyal custommer,412,1,4,2,954232.96,577,469548642,8732
Loyal custommer,412,1,4,2,1512252.96,689,779599988,9816
Churn customer,444,4,4,4,186864.96,734,678799569,732
Normal,332,3,3,2,1375431.2,272,269443404,3146
Churn customer,444,4,4,4,13584.48,1302,633992946,1456
High paying customer,421,2,4,1,2545815.6,662,931957614,5823
High paying customer,311,1,3,1,5760603.66,309,312379348,8846
Normal,433,3,4,3,623326.76,2394,936547410,4046
Loyal custommer,412,1,4,2,1265602.9,1726,648749387,8215
Normal,422,2,4,2,1442587.28,1348,144689357,5651
Normal,434,3,4,4,38803.47,2555,475176560,4159
High paying customer,411,1,4,1,4089379.77,1291,887263000,9693
Normal,422,2,4,2,859500.74,2329,465753209,5579
Churn customer,444,4,4,4,168600.9,2019,516122949,1105
Normal,434,3,4,4,41546.49,1434,779683244,4453
High paying customer,411,1,4,1,5294988.51,388,644592607,8131
Loyal custommer,412,1,4,2,1184259.22,889,685750567,7687
Churn customer,444,4,4,4,31222.1,1032,389094817,658
High paying customer,421,2,4,1,3853860.78,939,762690484,5918
"Once Loyal, Now Gone",442,4,4,2,801591,381,986181581,1900
Loyal custommer,412,1,4,2,1684477.3,2219,636381185,8189
"Once Loyal, Now Gone",443,4,4,3,484266.16,2421,663596808,1897
Loyal custommer,412,1,4,2,1613716.5,1377,470728385,7845
Normal,432,3,4,2,1829248.89,1171,353383243,2809
High paying customer,421,2,4,1,5010688.46,868,421660268,7498
Loyal custommer,413,1,4,3,425389.25,2071,809571206,8965
Normal,422,2,4,2,1107900.2,1477,144282948,5386
Normal,424,2,4,4,64022.46,2110,877892863,6862
"Once Loyal, Now Gone",443,4,4,3,447603.2,2448,465505158,2176
Churn customer,444,4,4,4,81519.1,2749,993345010,1718
Normal,423,2,4,3,672399.84,2643,505867040,6153
Loyal custommer,412,1,4,2,1089084.48,2141,358442533,9966
Churn customer,444,4,4,4,191918.1,1585,266360795,933
High paying customer,421,2,4,1,3863937.14,1744,685744130,5782
Normal,433,3,4,3,555251.68,1873,251100528,5081
High paying customer,431,3,4,1,2907652.65,916,125998008,4465
High paying customer,411,1,4,1,5232554.1,2534,123711478,7830
New customer,143,4,1,3,335085.3,91,379467189,1629
Normal,422,2,4,2,846361.26,1816,615522181,5547
Normal,422,2,4,2,930368.34,2395,610387361,6039
Normal,343,4,3,3,409960.1,352,100983083,1993
High paying customer,421,2,4,1,2792396.4,2755,412498700,6387
Normal,433,3,4,3,368520.57,919,311688840,4509
Normal,432,3,4,2,1244745.28,1890,111063039,4876
Churn customer,444,4,4,4,20572.65,1631,516870105,2205
Churn customer,444,4,4,4,84698.25,2645,242168128,1785
High paying customer,421,2,4,1,4337058.6,1724,575583016,6660
"Once Loyal, Now Gone",443,4,4,3,405284.4,2085,808192336,927
Normal,422,2,4,2,1064092.42,2752,129317939,6907
Normal,433,3,4,3,675981.44,1603,750108563,2648
Normal,434,3,4,4,208685.1,2745,715950095,4398
Loyal custommer,412,1,4,2,1322759.16,1759,921693980,8586
Churn customer,444,4,4,4,54472.6,1953,622907912,1148
Normal,422,2,4,2,1775727.68,506,467312324,6956
High paying customer,411,1,4,1,5000641.59,671,160578763,7679
Churn customer,444,4,4,4,235607.68,2249,819314277,2156
High paying customer,411,1,4,1,5354847.51,1768,942237985,8013
Normal,422,2,4,2,1575332.88,926,288073384,6171
Normal,432,3,4,2,1247768.8,1218,284108436,2854
High paying customer,411,1,4,1,5619482.43,2630,804399049,8409
High paying customer,421,2,4,1,3589946.44,665,165538489,5372
"Once Loyal, Now Gone",443,4,4,3,708264,1702,228211200,1620
High paying customer,411,1,4,1,2014159.2,1730,184166753,7890
Churn customer,444,4,4,4,70033.74,1451,876856458,166
"Once Loyal, Now Gone",442,4,4,2,820997.94,1767,771699702,1946
High paying customer,431,3,4,1,1931112.4,1972,246603858,4417
Normal,334,3,3,4,134615.65,284,292624127,2837
Churn customer,444,4,4,4,47208.96,2706,443871963,432
Normal,433,3,4,3,508243.98,556,537994325,3331
Normal,424,2,4,4,61708.62,2762,517898786,6614
High paying customer,411,1,4,1,4136631.45,839,827247607,9805
Normal,342,4,3,2,1377972.74,353,851383197,2062
Normal,422,2,4,2,853492.4,382,181860911,5540
Normal,422,2,4,2,1262998,1420,176050603,6140
High paying customer,411,1,4,1,3448528.86,2168,470019853,8174
Churn customer,444,4,4,4,91390.24,1017,244494998,358
Normal,423,2,4,3,614037.49,1523,931084716,7513
Normal,432,3,4,2,1321359.48,957,514811885,3132
Normal,422,2,4,2,1508704.8,1675,975111138,5910
High paying customer,411,1,4,1,2014008.7,2023,847320401,9791
"Once Loyal, Now Gone",443,4,4,3,330640.86,2581,301644504,2167
High paying customer,411,1,4,1,3558220.26,605,969983184,8434
Churn customer,444,4,4,4,121002.72,1186,871923768,474
Normal,424,2,4,4,55102.98,2271,229374635,5906
Loyal custommer,412,1,4,2,956200,1170,188866841,8750
Normal,434,3,4,4,23847.48,2043,219597232,2556
Churn customer,444,4,4,4,8900.82,2239,908658015,954
Normal,332,3,3,2,1714780.82,300,368622910,2566
"Once Loyal, Now Gone",443,4,4,3,291525.99,1667,152411115,691
Normal,434,3,4,4,45875.61,2217,257757127,4917
Normal,422,2,4,2,1148011.7,2582,447505176,5581
Normal,433,3,4,3,415017.6,1760,169483268,2720
Loyal custommer,414,1,4,4,72829.98,708,985086381,7806
Loyal custommer,413,1,4,3,401948.95,1554,738030469,8471
Normal,432,3,4,2,781392.32,1726,671616399,5072
Churn customer,444,4,4,4,212140.62,489,871284759,1377
High paying customer,431,3,4,1,1966654.2,1216,582836139,3020
Normal,433,3,4,3,634110.96,1090,554825723,4116
Normal,234,3,2,4,196110.85,116,837906920,4133
Normal,344,4,3,4,37382.1,260,485165965,245
"Once Loyal, Now Gone",443,4,4,3,370769.4,745,674783980,2430
Normal,423,2,4,3,492668.44,2694,938209950,6028
High paying customer,411,1,4,1,2215319.84,1056,481308305,8678
Loyal custommer,412,1,4,2,1270378.76,2343,134121024,8246
Normal,433,3,4,3,607115.82,2341,418404281,3979
High paying customer,421,2,4,1,3498300.12,2135,922561728,5372
Normal,124,2,1,4,59973.24,36,243569314,6428
"Once Loyal, Now Gone",443,4,4,3,419274.8,847,452558457,959
Normal,422,2,4,2,966572.44,2734,131681287,6274
Normal,434,3,4,4,31320.81,544,980340373,3357
Loyal custommer,314,1,3,4,76216.77,182,460693061,8169
Loyal custommer,413,1,4,3,664628.36,1508,140304696,8132
Normal,434,3,4,4,38700.84,2373,373021304,4148
Loyal custommer,414,1,4,4,84147.27,2721,382668673,9019
Churn customer,444,4,4,4,154060,1034,441440808,1000
Churn customer,444,4,4,4,48446.45,708,879055869,1021
High paying customer,421,2,4,1,4809539.19,1562,255264174,7197
Normal,423,2,4,3,323466.65,776,959772336,6817
Normal,433,3,4,3,353809.17,1502,589970815,4329
High paying customer,411,1,4,1,5005851.27,1003,476472604,7687
High paying customer,421,2,4,1,2908254.4,2766,570716845,6652
Normal,423,2,4,3,579138.78,2652,281013810,7086
Normal,422,2,4,2,1513540.6,1244,549260890,7358
Loyal custommer,412,1,4,2,1061218.08,2400,626011979,9711
"Once Loyal, Now Gone",443,4,4,3,507152,673,990403163,1160
New customer,144,4,1,4,178951.28,73,581611764,701
New customer,142,4,1,2,853061.58,95,783594977,2022
High paying customer,421,2,4,1,2384488.8,2318,941553485,5454
High paying customer,431,3,4,1,2010305.85,1361,866396272,4765
Normal,433,3,4,3,357017.76,1290,298978602,3267
Loyal custommer,412,1,4,2,1436235.54,1194,973230588,9413
"Once Loyal, Now Gone",442,4,4,2,1122686.04,1269,246831309,1724
Churn customer,444,4,4,4,187733.81,376,467600715,2297
Normal,422,2,4,2,781679.84,2040,499551188,7153
Normal,433,3,4,3,754607.68,409,374673116,2956
Churn customer,444,4,4,4,163373.6,1280,352939498,1495
Churn customer,444,4,4,4,13648.91,2519,538389146,167
"Once Loyal, Now Gone",443,4,4,3,287938.14,2249,285186469,1869
"Once Loyal, Now Gone",443,4,4,3,314346.8,1900,487364089,719
High paying customer,411,1,4,1,4291992.4,1310,500607764,9817
Churn customer,444,4,4,4,199144.46,858,190865838,298
High paying customer,421,2,4,1,2878555.47,1485,204067027,6823
Normal,422,2,4,2,947216.64,2628,679358756,6208
Normal,432,3,4,2,1800987.65,485,639741885,2695
High paying customer,431,3,4,1,2189934.8,2224,728793370,5009
Loyal custommer,412,1,4,2,865060.48,370,682574832,7916
Normal,434,3,4,4,202801.3,1289,801816833,4274
Churn customer,444,4,4,4,80727.44,1005,420859467,524
High paying customer,411,1,4,1,3474428.4,1723,546458089,7947
Normal,432,3,4,2,1826184.4,1117,606224572,4177
Normal,434,3,4,4,204815.38,1541,126329314,2506
Churn customer,444,4,4,4,18961.36,2494,822044980,232
Normal,322,2,3,2,851797.74,287,403337991,5529
Loyal custommer,413,1,4,3,443799.85,1831,354655683,9353
High paying customer,421,2,4,1,3040288.8,1959,946390902,6954
High paying customer,411,1,4,1,4016993.6,1773,132603538,9188
"Once Loyal, Now Gone",442,4,4,2,899891.37,1508,686948335,2133
High paying customer,211,1,2,1,5237900.26,170,518511188,7838
Normal,434,3,4,4,32319.12,2168,153974950,3464
Normal,423,2,4,3,653385.12,1921,651681792,5979
Normal,432,3,4,2,1037139.4,1502,425808465,5042
High paying customer,411,1,4,1,1855825.4,2213,552037513,9022
High paying customer,421,2,4,1,4059643.14,918,783237493,6234
Normal,423,2,4,3,652620.16,1458,300339448,5972
High paying customer,411,1,4,1,5591289.06,1873,712416017,8586
Normal,333,3,3,3,503015.84,181,315068423,4603
Churn customer,444,4,4,4,194926.05,2475,417013394,2385
Normal,423,2,4,3,557316.87,1030,941524302,6819
"Once Loyal, Now Gone",443,4,4,3,737463.72,1590,805762040,1748
High paying customer,331,3,3,1,3346696.16,333,365116727,5008
Normal,432,3,4,2,800302.8,2567,629301440,3135
Normal,422,2,4,2,955913.7,2297,114210450,6265
High paying customer,421,2,4,1,4859329.02,1091,883504474,7462
Normal,422,2,4,2,1345689.4,968,683381211,6542
High paying customer,421,2,4,1,2620780.68,2610,534286868,6212
High paying customer,421,2,4,1,2832618.8,2752,761171710,6479
"Once Loyal, Now Gone",443,4,4,3,524345.12,2542,676100623,2054
Churn customer,444,4,4,4,169702.5,1686,898283231,825
Normal,223,2,2,3,577749.37,107,274694526,7069
High paying customer,411,1,4,1,5691575.4,383,643648469,8740
High paying customer,421,2,4,1,3129580.02,1517,393612086,7418
Churn customer,444,4,4,4,109061.44,982,574043214,998
Normal,333,3,3,3,666791.36,311,743113362,2612
Loyal custommer,412,1,4,2,1225675.14,1590,726809823,8033
Churn customer,444,4,4,4,78731.28,1610,597831618,516
High paying customer,431,3,4,1,2588209.71,1234,397418677,3873
"Once Loyal, Now Gone",442,4,4,2,1384472.46,1824,459151971,2126
Normal,333,3,3,3,319564.3,310,946515786,3910
